natureza,localTipo,logradouro,complEnder,localNumero,municipioOficial,bairroOficial
ROUBO A PESSOA,ESTACIONAMENTO,R TABELIÃO FABIÃO,SAIDA DO NORTH SHOPPING,2450,Fortaleza,São Gerardo Alagadiço
ROUBO A PESSOA,VIA PUBLICA,AV BEZERRA DE MENEZES,NORTH SHOPPING,2450,Fortaleza,São Gerardo Alagadiço
ROUBO A PESSOA,VIA PUBLICA,R RUA FRANCISCO FERREIRA BAIMA,MESSEJANA,461,Fortaleza,Messejana
ROUBO A PESSOA,VIA PUBLICA,AV FREI CIRILO,PIZZARIA FILHO DA PROMESSA,4843,Fortaleza,Messejana
ROUBO (OUTROS),ESTACIONAMENTO,AV WASHINGTON SOARES,EXPRESS CAR WASH,1500,Fortaleza,Eng. Luciano Cavalcante
