AL,São Sebastião,0,0,false
AL,Satuba,-9.569113,-35.822697,false
AL,Senador Rui Palmeira,-9.469865,-37.457606,false
AL,Tanque d'Arca,0,0,false
AL,Taquarana,-9.64529,-36.492844,false
AL,Teotônio Vilela,-9.9081255,-36.3565601,false
AL,Traipu,-9.962625,-37.007119,false
AL,União dos Palmares,-9.1576807,-36.0342251,false
AL,Viçosa,0,0,false
AM,Alvarães,-3.22727,-64.800654,false
AM,Amaturá,-3.374547,-68.200456,false
AM,Anamã,-3.566966,-61.396337,false
AM,Anori,-3.748452,-61.658576,false
AM,Apuí,0,0,false
AM,Atalaia do Norte,-4.370551,-70.1967,false
AM,Autazes,-3.5833283,-59.1301518,false
AM,Barcelos,0,0,false
AM,Barreirinha,-2.798863,-57.067897,false
AM,Benjamin Constant,0,0,false
AM,Beruri,-3.898736,-61.36162,false
AM,Boa Vista do Ramos,-2.974087,-57.587333,false
AM,Boca do Acre,0,0,false
AM,Borba,-4.391539,-59.58738,false
AM,Caapiranga,-3.315372,-61.220557,false
AM,Canutama,-6.5327253,-64.3856284,false
AM,Carauari,-4.874248,-66.8927101,false
AM,Careiro,-3.8185277,-60.3616505,false
AM,Careiro da Várzea,-3.196979,-59.79639,false
AM,Coari,-4.0885957,-63.1431166,false
AM,Codajás,-3.830528,-62.065787,false
AM,Eirunepé,-6.6567654,-69.866161,false
AM,Envira,-7.437889,-70.028143,false
AM,Fonte Boa,-2.5147464,-66.0948424,false
AM,Guajará,-7.537971,-72.590713,false
AM,Humaitá,0,0,false
AM,Ipixuna,0,0,false
AM,Iranduba,-3.274792,-60.189953,false
AM,Itacoatiara,0,0,false
AM,Itamarati,0,0,false
AM,Itapiranga,0,0,false
AM,Japurá,0,0,false
AM,Juruá,-3.484384,-66.071795,false
AM,Jutaí,0,0,false
AM,Lábrea,-7.2613683,-64.7924505,false
AM,Manacapuru,-3.3000514,-60.6207425,false
AM,Manaquiri,-3.440784,-60.461239,false
AM,Manaus,-3.133105484,-59.9856354,true
AM,Manicoré,-5.804618,-61.289483,false
AM,Maraã,-1.853129,-65.572995,false
AM,Maués,-3.3838381,-57.7186814,false
AM,Nhamundá,-2.191642,-56.715681,false
AM,Nova Olinda do Norte,-3.8926889,-59.0953046,false
AM,Novo Airão,-2.636371,-60.943404,false
AM,Novo Aripuanã,-5.125929,-60.373179,false
AM,Parintins,-2.627982,-56.735922,false
AM,Pauini,-7.7122214,-66.9998441,false
AM,Presidente Figueiredo,-2.029813,-60.02338,false
